Distro, Score, Fail
Test, 81466, 
JSON::Class, 49038, 
META6, 45332, 
JSON::Fast, 38844, 
Test::META, 33627, 
JSON::Marshal, 25569, 
JSON::Name, 20757, 
JSON::Unmarshal, 19908, 
Shell::Command, 4632, 
Bailador, 4179, True
URI, 4156, 
HTTP::Server::Ogre, 3003, 
HTTP::UserAgent, 2850, True
LibraryMake, 2736, 
File::Which, 2622, 
File::Temp, 2530, 
HTTP::Request::Supply, 2088, 
File::Find, 1976, 
Template::Mustache, 1794, 
Sparrowdo, 1764, 
Config::Simple, 1737, 
OpenSSL, 1700, 
File::Directory::Tree, 1654, 
Data::Dump, 1542, 
JSON::Tiny, 1492, 
Log::Any, 1404, 
HTTP::Status, 1334, 
Cro::HTTP, 1333, 
Sparky, 1320, True
p6doc, 1265, 
Hash::Merge, 1258, 
WWW, 1190, True
Test::Notice, 1152, 
Terminal::ANSIColor, 1134, 
Crust, 1100, 
MIME::Base64, 968, 
Color::Names, 925, 
JSON::Pretty, 924, 
DateTime::Parse, 774, 
IO::Socket::SSL, 771, 
Config, 770, 
Term::termios, 720, 
Hash::MultiValue, 720, 
JSON::JWT, 649, 
HTTP::Tinyish, 640, 
IRC::Client, 630, 
PDF::Content, 629, 
PDF, 624, 
Test::Util::ServerPort, 606, 
Config::INI, 600, 
Digest, 586, 
IO::Socket::Async::SSL, 582, 
Digest::HMAC, 483, 
OO::Monitors, 465, 
PDF::Grammar, 452, 
HTTP::Server::Tiny, 450, True
Time::Crontab, 442, 
PSGI, 429, 
HTTP::Easy, 426, 
Cro::WebSocket, 420, 
IO::Capture::Simple, 414, 
CSS::Writer, 405, 
Temp::Path, 400, 
Digest::SHA1::Native, 396, 
Encode, 392, 
Audio::Sndfile, 392, 
Base64::Native, 380, 
Pluggable, 380, 
Cro::TLS, 366, 
Test::When, 360, 
HTTP::HPACK, 357, 
Cro::Core, 340, 
HTML::Escape, 310, 
Compress::Zlib::Raw, 310, 
CSS::Module, 309, 
License::Software, 288, 
Terminal::Print, 280, 
URI::Encode, 279, 
Pod::To::HTML, 270, 
Compress::Zlib, 258, 
Getopt::Advance, 252, 
CSS::Specification, 252, 
if, 244, 
curl:from<bin>, 244, 
YAMLish, 240, 
Crypt::Random, 237, 
HTTP::MultiPartParser, 236, 
XML, 231, 
Pastebin::Gist, 228, True
Base64, 216, 
Terminal::Table, 216, 
LibraryCheck, 216, 
Path::Iterator, 206, 
Net::ZMQ, 204, True
URI::Template, 195, 
IO::Path::ChildSecure, 183, 
DOM::Tiny, 180, 
NativeCall, 176, 
Pod::To::Markdown, 172, 
Slippy::Semilist, 170, 
CSS::Grammar, 168, 
Terminal::Getpass, 165, 
MPD::Client, 156, True
PDF::Lite, 153, 
CSS::Properties, 152, 
LWP::Simple, 147, 
RakudoPrereq, 144, 
NativeHelpers::Blob, 142, 
CPAN::Uploader::Tiny, 126, 
LibUUID, 123, 
epoll, 123, 
AWS::Session, 120, 
Crust::Middleware::Session, 117, True
Terminal::WCWidth, 116, 
JSON::RPC, 114, True
Color, 111, 
DBIish, 108, 
Proc::Q, 108, 
DateTime::Format, 102, 
Text::Tabs, 100, 
Cookie::Baker, 96, 
